timestamp,hour_of_day,day_of_week,is_weekend,month,season,arrival_rate_base,is_surge,arrival_rate,available_doctors,available_nurses,available_beds,patients_waiting,severity_level,occupancy_percent,waiting_time_minutes,crowding_level,patients_per_bed,staff_total,patients_per_staff,time_period,flow_pattern_type
2024-01-01 00:00:00,0,0,0,1,Winter,14,0,14,3,2,6,7,1,43,25,Moderate,1.0,5,1.1666666666666667,Night,Busy Period
2024-01-01 01:00:00,1,0,0,1,Winter,11,0,11,1,3,13,8,2,34,34,Moderate,0.5714285714285714,4,1.6,Night,Busy Period
2024-01-01 02:00:00,2,0,0,1,Winter,15,0,15,1,4,5,13,5,86,56,Critical,2.1666666666666665,5,2.1666666666666665,Night,Peak Demand
2024-01-01 03:00:00,3,0,0,1,Winter,12,0,12,2,4,14,9,1,37,19,Moderate,0.6,6,1.2857142857142858,Night,Busy Period
2024-01-01 04:00:00,4,0,0,1,Winter,14,0,14,2,4,8,11,5,61,40,High,1.2222222222222223,6,1.5714285714285714,Night,Peak Demand
2024-01-01 05:00:00,5,0,0,1,Winter,10,0,10,2,2,8,8,4,44,31,Moderate,0.8888888888888888,4,1.6,Night,Busy Period
2024-01-01 06:00:00,6,0,0,1,Winter,14,0,14,4,4,17,6,3,22,10,Low,0.3333333333333333,8,0.6666666666666666,Morning,Normal Period
2024-01-01 07:00:00,7,0,0,1,Winter,15,0,15,3,8,15,8,3,32,10,Moderate,0.5,11,0.6666666666666666,Morning,Busy Period
2024-01-01 08:00:00,8,0,0,1,Winter,21,0,21,2,8,10,17,3,85,46,Critical,1.5454545454545454,10,1.5454545454545454,Morning,Peak Demand
2024-01-01 09:00:00,9,0,0,1,Winter,20,0,20,3,8,5,18,1,100,45,Critical,3.0,11,1.5,Morning,Peak Demand
2024-01-01 10:00:00,10,0,0,1,Winter,24,0,24,6,5,5,18,4,100,46,Critical,3.0,11,1.5,Morning,Peak Demand
2024-01-01 11:00:00,11,0,0,1,Winter,24,0,24,4,6,16,19,3,73,59,Critical,1.1176470588235294,10,1.7272727272727273,Morning,Peak Demand
2024-01-01 12:00:00,12,0,0,1,Winter,19,0,19,6,5,17,12,5,44,35,High,0.6666666666666666,11,1.0,Afternoon,Busy Period
2024-01-01 13:00:00,13,0,0,1,Winter,22,0,22,2,7,6,19,3,100,66,Critical,2.7142857142857144,9,1.9,Afternoon,Peak Demand
2024-01-01 14:00:00,14,0,0,1,Winter,21,0,21,6,5,5,16,4,100,44,Critical,2.6666666666666665,11,1.3333333333333333,Afternoon,Peak Demand
2024-01-01 15:00:00,15,0,0,1,Winter,18,0,18,5,5,5,14,5,93,44,Critical,2.3333333333333335,10,1.2727272727272727,Afternoon,Peak Demand
2024-01-01 16:00:00,16,0,0,1,Winter,24,0,24,4,5,8,19,5,100,63,Critical,2.111111111111111,9,1.9,Afternoon,Peak Demand
2024-01-01 17:00:00,17,0,0,1,Winter,22,0,22,3,5,5,21,1,100,53,Critical,3.5,8,2.3333333333333335,Afternoon,Peak Demand
2024-01-01 18:00:00,18,0,0,1,Winter,26,0,26,6,9,17,19,1,70,41,High,1.0555555555555556,15,1.1875,Evening,Peak Demand
2024-01-01 19:00:00,19,0,0,1,Winter,36,0,36,3,7,16,31,2,100,96,Critical,1.8235294117647058,10,2.8181818181818183,Evening,Peak Demand
2024-01-01 20:00:00,20,0,0,1,Winter,29,0,29,2,5,6,31,4,100,102,Critical,4.428571428571429,7,3.875,Evening,Peak Demand
2024-01-01 21:00:00,21,0,0,1,Winter,25,0,25,6,4,7,23,5,100,67,Critical,2.875,10,2.090909090909091,Evening,Peak Demand
2024-01-01 22:00:00,22,0,0,1,Winter,36,0,36,2,4,5,36,4,100,124,Critical,6.0,6,5.142857142857143,Night,Peak Demand
2024-01-01 23:00:00,23,0,0,1,Winter,13,0,13,3,5,13,16,3,69,39,High,1.1428571428571428,8,1.7777777777777777,Night,Peak Demand
2024-01-02 00:00:00,0,1,0,1,Winter,16,0,16,3,3,6,14,3,87,40,Critical,2.0,6,2.0,Night,Peak Demand
2024-01-02 01:00:00,1,1,0,1,Winter,8,0,8,1,5,16,7,2,26,18,Moderate,0.4117647058823529,6,1.0,Night,Busy Period
